placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,info
https://www.google.com/maps/place/Mairangi+Bay+Community+Church/data=!4m7!3m6!1s0x6d0d3a3b550290a9:0x793e4b9c57aeb265!8m2!3d-36.7416217!4d174.7470204!16s%2Fg%2F1tjpqpfw!19sChIJqZACVTs6DW0RZbKuV5xLPnk,Mairangi Bay Community Church,4.9,22,Church,"49 Maxwelton Drive, Mairangi Bay, North Shore City 0630, New Zealand","7P5W+9R Mairangi Bay, Auckland, New Zealand",http://www.mairangichurch.org/,+64 9 478 6314,,https://lh5.googleusercontent.com/p/AF1QipOb285RDPktSmQJyfa0nUKTBBC4rPkECd23L7n6=w408-h544-k-no,false,-36.7415625,174.74706250000003,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:00:44.230Z,,,,,,,,,
https://www.google.com/maps/place/Church+Northwest/data=!4m7!3m6!1s0x6d0d3f64eb7b3b51:0xa81469cde7bc66f3!8m2!3d-36.7883223!4d174.6675088!16s%2Fg%2F11ft2y_xc8!19sChIJUTt762Q_DW0R82a8581pFKg,Church Northwest,5.0,3,Church,"Sunderland Lounge Cnr Cinema Rd &, Cutty Sark Road, Hobsonville, Auckland 0616, New Zealand","6M69+M2 Auckland, New Zealand",http://churchnorthwest.nz/,,Closed today,https://lh5.googleusercontent.com/p/AF1QipMVfVC6JQ7dzXIrUg-e7PkbrZ_i21BNy6XLUBPp=w408-h272-k-no,true,-36.7883125,174.66756249999997,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:00:48.680Z,Closed,Closed,Closed,Closed,Closed,10–11:30 AM,Closed,,
https://www.google.com/maps/place/Northcross+Church/data=!4m7!3m6!1s0x6d0d3bafd58e6377:0x7950c8309d928b27!8m2!3d-36.7187006!4d174.7228091!16s%2Fg%2F1tglhhl1!19sChIJd2OO1a87DW0RJ4uSnTDIUHk,Northcross Church,4.6,55,Church,"826a East Coast Road, Oteha, Auckland 0630, New Zealand","7PJF+G4 Auckland, New Zealand",http://northcross.org.nz/,+64 9 478 9549,Open now,https://lh5.googleusercontent.com/p/AF1QipNPy8n6kqG9Dqugun-tkWPU88oKLNDJxSiWBWxt=w408-h306-k-no,true,-36.7186875,174.72281249999997,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:00:54.338Z,9 AM–5 PM,9 AM–5 PM,9 AM–5 PM,9 AM–5 PM,Closed,"10 AM–12 PM, 5:30–7 PM",9 AM–5 PM,,
https://www.google.com/maps/place/North+Shore+Church+of+Christ/data=!4m7!3m6!1s0x6d0d38ede7b06627:0x867327a7fc2dafac!8m2!3d-36.7798963!4d174.7286588!16s%2Fg%2F1w0h7pnw!19sChIJJ2aw5-04DW0RrK8t_Kcnc4Y,North Shore Church of Christ,5.0,3,Church of Christ,"82 Chartwell Avenue, Glenfield, Auckland 0629, New Zealand","6PCH+2F Auckland, New Zealand",http://www.nscoc.com/,+64 9 480 8418,Open now,https://lh5.googleusercontent.com/p/AF1QipMfG2Y2QoF7iUbNNg_SDK6laI75gz85I6GrYRo5=w408-h306-k-no,false,-36.779937499999996,174.72868749999998,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:00:58.460Z,9 AM–8 PM,9 AM–9 PM,9 AM–10 PM,9 AM–11 PM,9 AM–2 AM,9 AM–2 AM,7:30 AM–7:15 PM,,
https://www.google.com/maps/place/Morningside+Church+Of+Christ/data=!4m7!3m6!1s0x6d0d47ab77d612cb:0xc36584ef7c8aa200!8m2!3d-36.8780892!4d174.7359848!16s%2Fg%2F11c2rdz8x5!19sChIJyxLWd6tHDW0RAKKKfO-EZcM,Morningside Church Of Christ,4.4,14,Church of Christ,"42 Leslie Avenue, Sandringham, Auckland 1025, New Zealand","4PCP+Q9 Auckland, New Zealand",http://www.morningsidechurchofchrist.org.nz/,+64 84 92647,,https://lh5.googleusercontent.com/p/AF1QipODPSd17PZZbdsGgGIlQPKUwnDmRdvDvrYQAtq5=w408-h306-k-no,false,-36.8780625,174.73593750000003,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:02.621Z,,,,,,,,,
https://www.google.com/maps/place/St+John%27s+Community+Church/data=!4m7!3m6!1s0x6d730e9dacaced4d:0xe1758f044a8a497b!8m2!3d-36.2677838!4d175.4920225!16s%2Fg%2F11f10ftll_!19sChIJTe2srJ0Oc20Re0mKSgSPdeE,St John's Community Church,,,Christian church,"560 Medland Road, Great Barrier Island / Aotea 0991, New Zealand","PFJR+VR Great Barrier Island / Aotea, New Zealand",,+64 9 942 0323,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OeriJh6Uvbfmq93Mk8CMoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=14.411397&pitch=0&thumbfov=100,false,-36.2678125,175.49206250000003,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:06.797Z,,,,,,,,,
https://www.google.com/maps/place/Gospel+Light+Bible+Baptist+Church/data=!4m7!3m6!1s0x6d0d4980edebebb1:0x5c72a83abc597e39!8m2!3d-36.8981724!4d174.8105777!16s%2Fg%2F11pc2w4_kw!19sChIJsevr7YBJDW0ROX5ZvDqoclw,Gospel Light Bible Baptist Church,,,Religious organization,"134 Main Highway, Ellerslie, Auckland 1051, New Zealand","4R26+P6 Auckland, New Zealand",http://www.gospellightbbc.org.nz/,+64 21 125 3446,Closed today,https://lh5.googleusercontent.com/p/AF1QipMikyachC2bSVFqs1oIJgOTUkum4SAlUyeh3LDs=w800-h240-k-no,true,-36.8981875,174.8105625,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:11.088Z,Closed,7–9 PM,Closed,Closed,Closed,9 AM–6:30 PM,Closed,,
https://www.google.com/maps/place/Rangiatea+Church/data=!4m7!3m6!1s0x6d4090e5f46e8395:0xd1663b5612079a42!8m2!3d-40.7500076!4d175.1375122!16s%2Fm%2F0k3p7qr!19sChIJlYNu9OWQQG0RQpoHElY7ZtE,Rangiatea Church,4.8,30,Church,"33 Te Rauparaha Street, Ōtaki 5512, New Zealand","64XQ+X2 Ōtaki, New Zealand",,+64 6 364 6838,Open now,https://lh5.googleusercontent.com/p/AF1QipOvhdaT9gm2E2TiG8DBPJmjhtxaiolpJ0IPexHr=w408-h272-k-no,false,-40.7500625,175.13756250000006,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:15.527Z,9:30 AM–1:30 PM,9:30 AM–1:30 PM,9:30 AM–1:30 PM,9:30 AM–1:30 PM,Closed,9–10:30 AM,9:30 AM–1:30 PM,,
"https://www.google.com/maps/place/Grey+Lynn+Presbyterian+Church.+Tokelau,Tuvalu,+Samoa/data=!4m7!3m6!1s0x6d0d47a4418cfb43:0x25e445e8f1f0aa08!8m2!3d-36.8662104!4d174.7383819!16s%2Fg%2F11gdrs297f!19sChIJQ_uMQaRHDW0RCKrw8ehF5CU","Grey Lynn Presbyterian Church. Tokelau,Tuvalu, Samoa",5.0,7,Presbyterian church,"487 Great North Road, Grey Lynn, Auckland 1021, New Zealand","4PMQ+G9 Auckland, New Zealand",,+64 9 376 6001,,https://lh5.googleusercontent.com/p/AF1QipNgllyhlrVudlPPV0aoi3F-aDWC_ZkGs4UqSkXk=w408-h544-k-no,false,-36.8661875,174.73843750000003,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:21.360Z,,,,,,,,,
"https://www.google.com/maps/place/LINK+VINEYARD+CHURCH/@-36.914131,174.6793069,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d410716d784ef:0x82afed1476bfd2e1!8m2!3d-36.914131!4d174.6793069!16s%2Fg%2F11h1s3qh76",LINK VINEYARD CHURCH,,,Church,"2A Seabrook Avenue, New Lynn, Auckland 0600, New Zealand","3MPH+8P Auckland, New Zealand",,,Closed today,,false,-36.91418750000001,174.67931249999998,"https://www.google.com/maps/search/churches+near+North+Island,+New+Zealand/@-38.4231251,174.681506,7.5z/data=!4m2!2m1!6e1",2023-04-11T00:01:28.136Z,Closed,Closed,Closed,Closed,Closed,10 AM–12 PM,Closed,,
